,md5_hash,total_time,age,english_level,age_of_acquisition,bilingual,bilingual_languages,time_in_english_country,english_history,traditional_classes,private_tutoring,language_learning_tech,social_media,video_games,in_person_conversations,private_messaging,emails_with_native_english,media_in_english,books_in_english,problems_difficulties,experiment_about,other_notes_questions,above_ability,response_a1,response_a2,response_a3,response_a4,response_b1,response_b2,response_b3,response_b4,response_c1,response_c2,response_c3,response_c4,response_d1,response_d2,response_d3,response_d4,response_e1,response_e2,response_e3,response_e4,response_f1,response_f2,response_f3,response_f4,response_g1,response_g2,response_g3,response_g4,response_h1,response_h2,response_h3,response_h4
0,25effa3b776e1364d4f986838bbf7016,10.74,23,C1-C2,"=""5-10""",yes,English and French,no,I have been studying english since elementary school; I have obtained a B2 english level in 2014 (during my third year of high school)%2C and I am currently attending a course in preparation of the C1 exam at the University of Siena with prof. Ayres. %0AI want to take the exam because I'll have a certification of a level that I actually already have.,yes,no,no,yes,no,no,no,no,yes,yes,nessuna difficoltà,quanto l'essere madrelingua italiano/a possa influire sulla percezione che si ha dell'inglese%2C in questo caso della naturalezza o meno di una conversazione,,no,5,6,4,6,4,3,4,5,7,7,7,7,3,3,4,2,5,7,3,5,5,4,4,5,6,4,7,6,5,2,2,2
1,8cd3042e118345bbd1b3c1ad219ef3f7,10.85,26,C1-C2,"=""0-4""",yes,English and a little bit of Spanish,no,I have not an official certification yet but I had had in the past many pregressive experiences and had been studying since I was in primary school%2C both academically and bymyself.,yes,no,no,yes,yes,yes,yes,yes,yes,no,No,Di stabilire quanto apparissero realistiche o meno conversazioni in inglese sia formali che informali per studenti di inglese ma madrelingua italiani%2C tenendo conto sia della grammatica che del registro usato a seconda del tipo di conversazione.,,no,6,6,7,7,7,6,7,4,7,7,4,7,5,1,1,5,7,7,6,5,6,6,2,5,7,7,7,7,7,2,7,7
2,0a791a055c54b528b210ed85e584cde0,12.67,21,B1-B2,"=""5-10""",yes,English,no,,yes,no,no,no,no,no,no,no,no,no,,,,no,3,6,3,4,4,2,2,6,3,5,6,6,6,2,7,6,4,1,3,1,2,7,5,7,7,4,2,4,6,2,7,6
3,99c265f3e4352e3265a4ea3a530f6b41,11.28,25,C1-C2,"=""5-10""",yes,English%2C French%2C German,yes,B2 FCE CAMBRIDGE,yes,no,yes,no,no,yes,no,no,yes,yes,No,,,no,6,7,4,6,7,6,5,5,7,6,4,3,7,7,7,4,5,3,6,4,7,5,5,7,5,6,5,3,4,6,5,3
4,0436b9de23548d6d6476394fe80b0246,17.82,25,C1-C2,"=""5-10""",yes,English and french,yes,I have done high school with bilingual specialization (english/french). At university I did 2 erasmus where I studied and took exams entirely in english in both cases. I had my master course completely in english. I've done FCE and I am going to get C1 soon%2C after having completed this C1 course.,yes,no,no,yes,no,no,yes,yes,yes,no,No%2C se non all'inizio capire che cosa potessi dedurre dai punteggi delle risposte.,Credo che volessi capire come noi italiani percepiamo certi costrutti inglesi che non rispecchiano pedissequamente la grammatica o l'inglese che impariamo a scuola con regole fisse e precise. Vorresti capire quanto ci sembra familiare un inglese più colloquiale.,,no,7,7,7,7,5,7,7,7,6,7,7,6,7,6,5,6,7,7,7,5,7,6,6,5,7,7,7,7,6,6,5,7
5,a3cb7e7606151d5eb4f0c2bae2692f1e,14.86,25,C1-C2,"=""5-10""",yes,English%2C Spanish,yes,Started to learn English at elementary school. I chose the linguistic high school curriculum and I kept studying English at university%2C even though it was an English degree.,no,no,yes,yes,no,yes,yes,yes,yes,yes,"L'unica difficoltà è stata misurare il parametro di ""plausibile"": alcuni esempi erano al limite dell'assurdo (forse è proprio lo scopo dell'esperimento?) per quanto riguarda il contenuto%2C e a volte degli errori grammaticali mi facevano pensare che forse la conversazione non fosse tanto plausibile a livello formale. Poi però ho cominciato a pensare che queste conversazioni potevano essere tra non madrelingua inglesi%2C e quindi sono andata un po' in confusione.","La diversa percezione di ""corretto"" tra conversazione scritta e orale? Oppure di quanto un errore grammaticale sia più evidente in una conversazione scritta invece che in una conversazione orale?",,no,2,7,5,6,2,3,7,7,7,6,7,6,4,1,5,5,5,2,6,7,1,6,1,4,7,6,6,6,5,2,7,7
6,a142322cf0f96dc8cbdfa7d268837e92,68.88,28,B1-B2,"=""10-13""",yes,English%0AFrench,no,I've started learning English at middle school. I've never taken any certification. I'm currently following a C1 course.,yes,yes,no,no,no,no,no,no,yes,no,"Ho avuto qualche problema a decidere il ""grado"" (1-7) di naturalezza/innaturalezza perché le frasi erano molto brevi",Credo che riguardi la capacità degli italiani che imparano l'inglese di pensare in inglese piuttosto che tradurre dall'italiano le proprie frasi,,yes,4,2,6,7,6,5,7,6,2,5,4,4,1,6,6,1,6,6,6,7,1,4,6,6,3,3,7,7,5,7,6,6
7,41696684633cdb677b78f4da01e24a2a,35.27,31,B1-B2,"=""5-10""",yes,English,no,I took english courses at school (primary and secondary level) and at university. The highest certified level I reached was B2 during the master.,yes,no,yes,yes,yes,yes,no,no,yes,no,no,credo che serva per capire quanto l'inglese studiato a scuola/università sia vicino all'inglese dei madrelingua,,no,6,5,6,5,5,6,6,6,4,5,5,4,6,6,6,6,6,5,7,5,7,4,5,6,5,5,5,5,5,5,5,6
8,fffa2feb3e1ae4eefb25dd5c1b0192a4,32.31,27,C1-C2,"=""5-10""",yes,English,no,I'm attending a C1 course by University of Pisa,yes,no,yes,no,yes,yes,no,no,yes,yes,no,La differenza tra l'inglese realmente utilizzato e quello che siamo abituati a considerare corretto,,no,6,5,3,5,6,3,7,5,6,2,5,5,2,7,5,5,5,3,5,5,2,6,3,6,5,5,7,5,4,5,6,7
9,3212b856503906fcde2920ab2a3b6e3c,12.96,27,B1-B2,"=""5-10""",yes,Arab%0AAnd english,no,I took english lessons in school%0AI completed b1 and b2 certification during hight school%0A,no,no,no,yes,no,no,no,no,yes,yes,No,%0ALa percezione della corretta costruzione della frase in inglese%0AE non tradotta,,no,7,7,7,7,3,4,4,5,7,7,7,7,4,7,4,5,6,5,6,5,3,5,5,6,6,7,7,7,5,5,5,5
10,e0554ff60ff0a3ff17d4d230b00973d3,32.81,23,C1-C2,"=""5-10""",yes,English %0ASpanish,no,I have always been studying English%2C since elementary school. I took two summer classes in Canterbury%2C Uk%2C during high school and I am now studying for CPE (C2 Proficiency),yes,no,no,yes,yes,no,no,no,yes,yes,Non direi,L'individuazione da parte di un madrelingua italiano di alcune strutture sintattiche (come la dislocazione dei sintagmi o l'elisione dei soggetti) e di alcune espressioni idiomatiche proprie della lingua italiana ma innaturali nella lingua inglese%2C assieme all'individuazione di errori grammaticali che ricalcano la grammatica italiana,,no,7,6,6,6,4,2,6,1,4,2,6,6,2,1,3,2,3,3,6,5,1,2,6,2,7,2,4,5,5,4,2,5
11,a868ee76c36c7dcb4f6e4539844391dc,16.87,21,C1-C2,"=""5-10""",yes,english,no,the most recent class I took was in 2018 in Bournemouth%2C it was a IELTS preparation course%2C but I never ended up taking the test. My last certification was the exit test I gave at the end of that course and it gave me an advanced (C1) certification.,no,no,no,yes,yes,no,yes,no,yes,yes,non particolarmente,riguardava la familiarità che un non-madrelingua può avere con il linguaggio colloquiale di un madrelingua (?),,no,6,6,4,4,3,2,6,4,6,3,5,6,4,2,4,4,5,3,6,5,4,4,5,3,6,6,4,5,6,6,3,4
